,CIK Number,Entity Name,Address_1,City,State,Zip Code
534,0000783740,MFS SERIES TRUST X,111 HUNTINGTON AVENUE,BOSTON,MA,02199
535,0000783898,GABELLI ASSET FUND,ONE CORPORATE CENTER,RYE,NY,10580
536,0000784056,AQUILA MUNICIPAL TRUST,120 WEST 45TH STREET,NEW YORK,NY,10036
537,0000785026,TRANSAMERICA LIFE INSURANCE CO SEPARATE ACCOUNT VL,4333 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52499
538,0000785986,VARIABLE LIFE ACCOUNT B OF VOYA RETIREMENT INSURANCE & ANNUITY CO,ONE ORANGE WAY,WINDSOR,CT,06095-4774
539,0000786418,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT C,9920 CORPORATE CAMPUS DR,LOUISVILLE,KY,40223
540,0000787441,MAINSTAY FUNDS,51 MADISON AVE,NEW YORK,NY,10010
541,0000787623,TRANSAMERICA FUNDS,1801 CALIFORNIA STREET,DENVER,CO,80202
542,0000787836,PUTNAM HIGH YIELD FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
543,0000788599,VANGUARD NEW YORK TAX-FREE FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
544,0000788606,VANGUARD PENNSYLVANIA TAX-FREE FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
545,0000789280,CORNERCAP GROUP OF FUNDS /VA/,"1355 PEACHTREE STREET, N.E.",ATLANTA,GA,30309
546,0000789281,Federated Hermes Income Securities Trust,4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
547,0000789316,DELAWARE LIFE VARIABLE ACCOUNT E,1601 TRAPELO ROAD,WALTHAM,MA,02451
548,0000789535,MINNESOTA LIFE VARIABLE LIFE ACCOUNT,400 N ROBERT ST,ST PAUL,MN,55101-2098
549,0000790162,NML VARIABLE ANNUITY ACCOUNT A,720 EAST WISCONSIN AVE,MILWAUKEE,WI,53202
550,0000790163,NML VARIABLE ANNUITY ACCT C OF NORTHWESTERN MUT LIFE INS CO,720 E WISCONSIN AVE,MILWAUKEE,WI,53202
551,0000790166,THRIVENT SERIES FUND INC,"901 MARQUETTE AVENUE, SUITE 2500",MINNEAPOLIS,MN,55402-3265
552,0000790525,BLACKROCK EUROFUND,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
553,0000790531,UNION SECURITY INSURANCE CO VARIABLE ACCOUNT C,213 WASHINGTON ST,NEWARK,NJ,07102
554,0000790558,HARTFORD HLS SERIES FUND II INC,690 LEE ROAD,WAYNE,PA,19087
555,0000790560,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT TWO DC VAR AC II,P.O. BOX 2999,HARTFORD,CT,06104-2999
556,0000791049,CASCADES TRUST,120 WEST 45TH STREET,NEW YORK,NY,10036
557,0000791683,DELAWARE LIFE NY VARIABLE ACCOUNT D,1601 TRAPELO ROAD,WALTHAM,MA,02451
558,0000792288,PUTNAM MASSACHUSETTS TAX EXEMPT INCOME FUND/MA/,ONE POST OFFICE SQ,BOSTON,MA,02109
559,0000792359,VIRTUS VARIABLE INSURANCE TRUST,ONE FINANCIAL PLAZA,HARTFORD,CT,06103
560,0000792394,VOLUMETRIC FUND INC,87 VIOLET DR,PEARL RIVER,NY,10965
561,0000792858,JOHN HANCOCK STRATEGIC SERIES,C/O JOHN HANCOCK FUNDS,BOSTON,MA,02116
562,0000792901,RIVERSOURCE VARIABLE ACCOUNT FOR SMITH BARNEY,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
563,0000793159,"PRUDENTIAL GLOBAL TOTAL RETURN FUND, INC.",655 BROAD STREET,NEWARK,NJ,07102
564,0000793347,"T. Rowe Price Capital Appreciation Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
565,0000793597,"DEUTSCHE DWS GLOBAL/INTERNATIONAL FUND, INC.",875 THIRD AVENUE,NEW YORK,NY,10022-6225
566,0000793601,COMMONWEALTH INTERNATIONAL SERIES TRUST,791 TOWN & COUNTRY BLVD.,HOUSTON,TX,77024
567,0000793769,HARBOR FUNDS,111 SOUTH WACKER DRIVE,CHICAGO,IL,60606
568,0000794105,VANGUARD BOND INDEX FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
569,0000794389,AMERICAN FUNDS TAX EXEMPT SERIES II / CA,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
570,0000794458,EMERGING MARKETS GROWTH FUND INC,6455 IRVINE CENTER DRIVE,IRVINE,CA,92618
571,0000794612,PUTNAM MINNESOTA TAX EXEMPT INCOME FUND,100 FEDERAL STREET,BOSTON,MA,02110
572,0000794614,PUTNAM GLOBAL INCOME TRUST,ONE POST OFFICE SQ,BOSTON,MA,02109
573,0000794615,PUTNAM PENNSYLVANIA TAX EXEMPT INCOME FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
574,0000794616,PUTNAM OHIO TAX EXEMPT INCOME FUND,100 FEDERAL STREET,BOSTON,MA,02110
575,0000795259,MUTUAL OF AMERICA INVESTMENT CORP,320 PARK AVENUE,NEW YORK,NY,10022
576,0000795264,THOMPSON IM FUNDS INC,1255 FOURIER DRIVE,MADISON,WI,53717
577,0000795307,SUNAMERICA INCOME FUNDS,HARBORSIDE 5,JERSEY CITY,NJ,07311
578,0000795384,"T. Rowe Price State Tax-Free Funds, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
579,0000795402,TEMPLETON INCOME TRUST,300 S.E. 2ND STREET,FORT LAUDERDALE,FL,33301-1923
580,0000795422,FIDELITY ADVISOR SERIES II,245 SUMMER STREET,BOSTON,MA,02210
581,0000795890,SYMETRA RESOURCE VARIABLE ACCOUNT B,777 108TH AVE NE,BELLEVUE,WA,98004
582,0000796154,Nassau Life Variable Universal Life Account,ONE AMERICAN ROW,HARTFORD,CT,06115
583,0000796227,"Provident Mutual Funds, Inc.",N16 W23217 STONE RIDGE DRIVE,WAUKESHA,WI,53188
584,0000796229,TETON WESTWOOD FUNDS,ONE CORPORATE CENTER,RYE,NY,10580
585,0000796251,Dreyfus Treasury Obligations Cash Management,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10166
586,0000796330,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT TWO,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
587,0000796524,SEPARATE ACCOUNT VL E,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499-0001
588,0000796535,SEPARATE ACCOUNT VA BB,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499
589,0000797136,FENIMORE ASSET MANAGEMENT TRUST,384 N GRAND ST,COBLESKILL,NY,12043
590,0000797461,FIDELITY VARIABLE ACCOUNT OF MONARCH LIFE INSURANCE CO,ONE MONARCH PL,SPRINGFIELD,MA,01133
591,0000797920,BNY MELLON NEW YORK AMT-FREE MUNICIPAL BOND FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
592,0000797923,BNY Mellon Opportunistic Municipal Securities Fund,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
593,0000798244,MFS SERIES TRUST I,111 HUNTINGTON AVENUE,BOSTON,MA,02199
594,0000798250,MFS SERIES TRUST II,111 HUNTINGTON AVENUE,BOSTON,MA,02199
595,0000798290,HSBC FUNDS,C/O HSBC FUNDS,NEW YORK,NY,11108
596,0000798365,ARIEL INVESTMENT TRUST,200 EAST RANDOLPH STREET,CHICAGO,IL,60601
597,0000798523,FRANKLIN NEW YORK TAX FREE TRUST,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
598,0000798737,"AB MUNICIPAL INCOME FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
599,0000799084,SUNAMERICA EQUITY FUNDS,HARBORSIDE 5,JERSEY CITY,NJ,07311
600,0000799113,BLACKROCK MUNICIPAL SERIES TRUST,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
601,0000799127,VANGUARD QUANTITATIVE FUNDS,100 VANGUARD BLVD,MALVERN,PA,19355
602,0000799295,BNY Mellon Investment Funds I,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
603,0000799704,"Federated Hermes Equity Income Fund, Inc.",4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
604,0000801019,JOHN HANCOCK LIFE INSURANCE CO (USA) SEPARATE ACCOUNT A,200 BLOOR STREET EAST ST 11,TORONTO,A6,M4W 1E5
605,0000801444,TOCQUEVILLE TRUST,40 WEST 57TH ST.,NEW YORK,NY,10019
606,0000802205,SEPARATE ACCOUNT I OF INTEGRITY LIFE INSURANCE CO,400 BROADWAY,CINCINNATI,OH,45202
607,0000802222,SEPARATE ACCOUNT I OF NATIONAL INTEGRITY LIFE INS CO,400 BROADWAY,CINCINNATI,OH,45202
608,0000802716,VICTORY PORTFOLIOS,4900 TIEDEMAN ROAD,BROOKLYN,OH,44144
609,0000802978,RELIASTAR UNITED SERVICES VARIABLE LIFE SEPARATE ACCOUNT I,20 WASHINGTON AVENUE SOUTH,MINNEAPOLIS,MN,55401
610,0000803013,FIDELITY GARRISON STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
611,0000803020,OBERWEIS FUNDS,3333 WARRENVILLE ROAD,LISLE,IL,60532
612,0000803191,PRUDENTIAL INVESTMENT PORTFOLIOS 7,655 BROAD STREET,NEWARK,NJ,07102
613,0000803401,USL SEPARATE ACCOUNT USL A,"405 KING STREET, 4TH FLOOR",WILMINGTON,DE,19801
614,0000803466,Separate Account II of AGL,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
615,0000803747,JP MORGAN MUTUAL FUND INVESTMENT TRUST,277 PARK AVENUE,NEW YORK,NY,10172
616,0000803950,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
617,0000803951,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
618,0000804223,LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT E,P O BOX 1110,FORT WAYNE,IN,46802
619,0000804239,SEI INSTITUTIONAL MANAGED TRUST,2 OLIVER ST,BOSTON,MA,02109
620,0000804286,Genworth Life & Annuity VL Separate Account 1,6610 WEST BROAD STREET,RICHMOND,VA,23230
621,0000804887,BNY MELLON ULTRA SHORT INCOME FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
622,0000805650,FRANKLIN MANAGED TRUST,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
623,0000805664,TEMPLETON GROWTH FUND INC,300 S.E. 2ND STREET,FORT LAUDERDALE,FL,33301-1923
624,0000805749,USL SEPARATE ACCOUNT USL B,"405 KING STREET, 4TH FLOOR",WILMINGTON,DE,19801
625,0000805925,VERMONT VARIABLE LIFE INSURANCE ACCOUNT,ONE NATIONAL LIFE DRIVE,MONTPELIER,VT,05604
626,0000806004,GENERAL AMERICAN SEPARATE ACCOUNT ELEVEN,5601 SOUTH 59TH STREET,LINCOLN,NE,68516
627,0000806176,BNY MELLON STATE MUNICIPAL BOND FUNDS,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
628,0000806180,SYMETRA SEPARATE ACCOUNT SL,777 108TH AVE NE,BELLEVUE,WA,98004
629,0000806382,RIVERSOURCE OF NEW YORK ACCOUNT 7,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
630,0000806564,MORGAN STANLEY MORTGAGE SECURITIES TRUST,522 FIFTH AVENUE,NEW YORK,NY,10036
631,0000806633,WASATCH FUNDS TRUST,505 WAKARA WAY,SALT LAKE CITY,UT,84108
632,0000806636,LONGLEAF PARTNERS FUNDS TRUST,C/O SOUTHEASTERN ASSET MANAGEMENT,MEMPHIS,TN,38119
633,0000806857,GABELLI GROWTH FUND,ONE CORPORATE CENTER,RYE,NY,10580-1434
634,0000807394,PRUDENTIAL INVESTMENT PORTFOLIOS 4,655 BROAD STREET,NEWARK,NJ,07102
635,0000807878,PFM Funds,213 MARKET STREET,HARRISBURG,PA,17101
636,0000808102,SEPARATE ACCOUNT VA-1,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499-0001
637,0000808303,"T. Rowe Price Spectrum Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
638,0000808442,SYMETRA DEFERRED VARIABLE ANNUITY ACCOUNT,777 108TH AVE NE,BELLEVUE,WA,98004
639,0000808468,ALLIANZ LIFE VARIABLE ACCOUNT A,5701 GOLDEN HILLS DRIVE,MINNEAPOLIS,MN,55416-1297
640,0000809013,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT SEVEN,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
641,0000809064,VOYAGEUR INSURED FUNDS,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
642,0000809586,HEARTLAND GROUP INC,790 N. WATER STREET,MILWAUKEE,WI,53202
643,0000809593,AMERICAN BEACON FUNDS,220 EAST LAS COLINAS BOULEVARD,IRVING,TX,75039
644,0000809707,FRANKLIN INVESTORS SECURITIES TRUST,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
645,0000809766,UNITED INVESTORS LIFE VARIABLE ACCOUNT,P O BOX 10207,BIRMINGHAM,AL,35233
646,0000809802,"NICHOLAS Ltd EDITION, INC.",411 E. WISCONSIN AVE.,MILWAUKEE,WI,53202
647,0000809821,DELAWARE GROUP EQUITY FUNDS V,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
648,0000809872,VOYAGEUR MUTUAL FUNDS II,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
649,0000809981,SIT U S GOVERNMENT SECURITIES FUND INC,3300 IDS CTR 80 S 8TH ST,MINNEAPOLIS,MN,55402
650,0000810016,Ivy Variable Insurance Portfolios,6300 LAMAR AVENUE,OVERLAND PARK,KS,66202
651,0000810305,BNY MELLON SHORT-INTERMEDIATE MUNICIPAL BOND FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
652,0000810369,ZALICO VARIABLE SEPARATE ACCOUNT,C/O CHASE LIFE,ELGIN,IL,60123
653,0000810573,DEUTSCHE DWS VARIABLE SERIES II,875 THIRD AVENUE,NEW YORK,NY,10022-6225
654,0000810579,PENN MUTUAL VARIABLE LIFE ACCOUNT I,PENN MUTUAL INDEPENDENCE PL C30,HORSHAM,PA,19044
655,0000810695,Mutual Fund & Variable Insurance Trust,2960 N. MERIDIAN STREET,INDIANAPOLIS,IN,46208
656,0000810744,COLORADO BONDSHARES A TAX EXEMPT FUND,1200 17TH STREET,DENVER,CO,80202-5835
657,0000810814,UNITED INVESTORS ANNUITY VARIABLE ACCOUNT,P O BOX 10207,BIRMINGHAM,AL,35233
658,0000810893,PIMCO FUNDS,650 NEWPORT CENTER DRIVE,NEWPORT BEACH,CA,92660
659,0000810902,BARON INVESTMENT FUNDS TRUST (f/k/a BARON ASSET FUND),767 FIFTH AVE,NEW YORK,NY,10153
660,0000811030,PROFESSIONALLY MANAGED PORTFOLIOS,615 EAST MICHIGAN STREET,MILWAUKEE,WI,53202
661,0000811161,CLEARWATER INVESTMENT TRUST,2000 WELLS FARGO PLACE,ST PAUL,MN,55101-4930
662,0000811394,PRUDENTIAL VARIABLE CONTRACT ACCOUNT 24,30 SCRANTON OFFICE PARK,MOOSIC,PA,18507-1789
663,0000811713,FARM BUREAU LIFE VARIABLE ACCOUNT,5400 UNIVERSITY AVE,WEST DES MOINES,IA,50266
664,0000811860,SATURNA INVESTMENT TRUST,1300 NORTH STATE STREET,BELLINGHAM,WA,98225-4730
665,0000811869,THRIVENT MUTUAL FUNDS,"901 MARQUETTE AVENUE, SUITE 2500",MINNEAPOLIS,MN,55402-3265
666,0000811968,CAPITAL INCOME BUILDER,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
667,0000811976,VanEck VIP Trust,"666 THIRD AVENUE, 9TH FLOOR",NEW YORK,NY,10017
668,0000812015,AB PORTFOLIOS,ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
669,0000812195,PIONEER MONEY MARKET TRUST,60 STATE ST 13TH FLOOR,BOSTON,MA,02109-1820
670,0000812303,CAPITAL WORLD BOND FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
671,0000812797,PRINCIPAL LIFE INSURANCE CO VARIABLE LIFE SEP ACCOUNT,THE PRINCIPAL FINANCIAL GROUP,DES MOINES,IA,50392
672,0000813383,BNY MELLON VARIABLE INVESTMENT FUND,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
673,0000813572,JOHN HANCOCK LIFE INSURANCE CO (USA) SEPARATE ACCOUNT N,200 BLOOR STREET EAST ST 10,ONTARIO CANADA,A6,48304
674,0000813900,PACIFIC SELECT FUND,700 NEWPORT CTR DR,NEWPORT BEACH,CA,92660
675,0000813936,PACIFIC SELECT SEPARATE ACCOUNT OF PACIFIC LIFE INSUR,PO BOX 7500,NEWPORT BEACH,CA,92658-7500
676,0000814079,Funds For Institutions Series,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
677,0000814230,DELAWARE VIP TRUST,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
678,0000814378,Equitable America Variable Account A of Equitable Financial Life Insurance Co of America,"525 WASHINGTON BOULEVARD, 22ND FLOOR",JERSEY CITY,NJ,07310
679,0000814501,JOHN HANCOCK LIFE INSURANCE CO (USA) SEPARATE ACCOUNT M,200 BLOOR STREET EAST ST 10,ONTARIO CANADA,A6,48304
680,0000814507,BLACKROCK EQUITY DIVIDEND FUND,100 BELLEVUE PARKWAY,WILMINGTON,DE,08543-9011
681,0000814679,ADVANCED SERIES TRUST,655 BROAD STREET,NEWARK,NJ,07102
682,0000814680,AMERICAN CENTURY VARIABLE PORTFOLIOS INC,4500 MAIN STREET,KANSAS CITY,MO,64111
683,0000814807,VEL ACCOUNT OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
684,0000814848,AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,5900 O ST,LINCOLN,NE,68510
685,0000815207,LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT F,1300 S CLINTON ST,FORT WAYNE,IN,46802
686,0000815425,COLUMBIA FUNDS VARIABLE INSURANCE TRUST,225 FRANKLIN STREET,BOSTON,MA,02110
687,0000815915,Brighthouse Variable Annuity Account C,BRIGHTHOUSE LIFE INSURANCE CO,CHARLOTTE,NC,28277
688,0000816153,THORNBURG INVESTMENT TRUST,2300 NORTH RIDGETOP ROAD,SANTA FE,NM,87506-8361
689,0000816753,"PRUDENTIAL JENNISON NATURAL RESOURCES FUND, INC.",655 BROAD STREET,NEWARK,NJ,07102
690,0000817132,RIVERSOURCE OF NEW YORK ACCOUNT 8,50605 AMERIPRISE FINANCIAL CENTER,MINNEAPOLIS,MN,55474
691,0000817656,ELFUN INTERNATIONAL EQUITY FUND,1600 SUMMER STREET,STAMFORD,CT,06905
692,0000817980,JOHN HANCOCK LIFE INSURANCE CO (USA) SEPARATE ACCOUNT I,500 BOYLSTON STREET,BOSTON,MA,02116
693,0000817982,OPPENHEIMER QUEST FOR VALUE FUNDS,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
694,0000818276,JOHN HANCOCK LIFE INSURANCE Co (U.S.A.) SEPARATE ACCOUNT X,601 CONGRESS STREET,BOSTON,MA,02210
695,0000818462,INDEPENDENCE VARIABLE ANNUITY SEPARATE ACCOUNT,SUN LIFE FINANCIAL,WELLESLEY HILLS,MA,02481
696,0000819085,Thrivent Variable Annuity Account C,625 FOURTH AVE SOUTH,MINNEAPOLIS,MN,55415
697,0000819118,FIDELITY CONCORD STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
698,0000819543,FIDELITY INVESTMENTS VARIABLE LIFE ACCOUNT I,245 SUMMER STREET,BOSTON,MA,02210
699,0000819673,MFS SERIES TRUST VIII,111 HUNTINGTON AVENUE,BOSTON,MA,02119
700,0000819923,MIDLAND NATIONAL LIFE SEPARATE ACCOUNT A,C/O NORTH AMERICAN COMPANY,CHICAGO,IL,60607
701,0000819930,"T. Rowe Price Science & Technology Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
702,0000819940,"BNY Mellon Investment Funds IV, Inc.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
703,0000819978,VALUE LINE FUNDS VARIABLE TRUST,7 TIMES SQUARE,NEW YORK,NY,10036
704,0000820098,ALLSTATE LIFE INSURANCE Co VARIABLE ANNUITY SEPARATE ACCOUNT C,8301 MARYLAND AVE,ST LOUIS,MO,63105
705,0000820299,HANCOCK JOHN VARIABLE LIFE ACCOUNT V,JOHN HANCOCK LIFE INSURANCE CO. (U.S.A.),BOSTON,MA,02116
706,0000820627,Separate Account I of AGL,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
707,0000820892,NUVEEN INVESTMENT FUNDS INC,333 WEST WACKER DR.,CHICAGO,IL,60606
708,0000820914,NATIONWIDE VLI SEPARATE ACCOUNT 2,NATIONWIDE LIFE INSURANCE CO,COLUMBUS,OH,43215
709,0000821051,FIDELITY INVESTMENTS VARIABLE ANNUITY ACCOUNT I,245 SUMMER STREET,BOSTON,MA,02210
710,0000821404,VANGUARD NEW JERSEY TAX-FREE FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
711,0000821484,ELFUN DIVERSIFIED FUND,1600 SUMMER STREET,STAMFORD,CT,06905
712,0000821581,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT TEN,1 GRIFFIN ROAD NORTH,WINDSOR,CT,06095
713,0000822519,CONCORDE FUNDS INC,"8383 PRESTON CENTER PLAZA DR.,",DALLAS,TX,75225
714,0000822616,Genworth Life & Annuity VA Separate Account 1,6610 WEST BROAD STREET,RICHMOND,VA,23230
715,0000822632,WILLIAM BLAIR FUNDS,150 NORTH RIVERSIDE PLAZA,CHICAGO,IL,60606
716,0000822671,PUTNAM VARIABLE TRUST,ONE POST OFFICE SQ,BOSTON,MA,02109
717,0000822977,GOLDMAN SACHS TRUST,71  SOUTH WACKER DRIVE,CHICAGO,IL,60606
718,0000823535,Variable Insurance Products Fund V,245 SUMMER STREET,BOSTON,MA,02210
719,0000823620,AMERICAN HIGH INCOME TRUST,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
720,0000824036,RUSSELL INVESTMENT FUNDS,1301 SECOND AVENUE,SEATTLE,WA,98101
721,0000824725,PARAGON SEPARATE ACCOUNT A,METROPOLITAN LIFE INSURANCE COMPANY,NEW YORK,NY,10166
722,0000825063,FRANKLIN MUTUAL SERIES FUNDS,101 JOHN F KENNEDY PARKWAY,SHORT HILLS,NJ,07078
723,0000825316,"AB VARIABLE PRODUCTS SERIES FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
724,0000825555,NATIONWIDE VARIABLE ACCOUNT 3,ONE NATIONWIDE PLZ,COLUMBUS,OH,43216-6609
725,0000825759,TRUST FOR CREDIT UNIONS,C/O BNY MELLON INVESTMENT SERVICING,WESTBOROUGH,MA,01581
726,0000826473,VANGUARD FENWAY FUNDS,P.O. BOX 2600,VALLEY FORGE,PA,19482
727,0000826644,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),11 GREENWAY PLAZA,HOUSTON,TX,77046
728,0000826647,KBL VARIABLE ANNUITY ACCOUNT,DELAWARE LIFE INSURANCE CO. OF NY,WALTHAM,MA,02451
729,0000826686,SSGA FUNDS,ONE LINCOLN STREET,BOSTON,MA,02111
730,0000826723,VARIABLE ACCOUNT D OF UNION SECURITY INSURANCE CO,500 BIELENBERG DRIVE,WOODBURY,MN,55125
731,0000826732,CALAMOS INVESTMENT TRUST/IL,2020 CALAMOS COURT,NAPERVILLE,IL,60563
732,0000826734,PRUDENTIAL ANNUITIES LIFE ASSURANCE CORP VARIABLE ACCOUNT B,ONE CORPORATE DR,SHELTON,CT,06484
733,0000826813,INTERMEDIATE BOND FUND OF AMERICA,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
734,0000827060,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",4500 MAIN STREET,KANSAS CITY,MO,64111
735,0000828475,"BNY MELLON NEW JERSEY MUNICIPAL BOND FUND, INC.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
736,0000828684,KEYNOTE SERIES ACCOUNT /NY/,PROTECTIVE LIFE INSURANCE COMPANY,BIRMINGHAM,AL,35223
737,0000828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),11 GREENWAY PLAZA,HOUSTON,TX,77046
738,0000828972,PRUDENTIAL VARIABLE APPRECIABLE ACCOUNT,PRUDENTIAL INSURANCE COMPANY OF AMERICA,NEWARK,NJ,07102
739,0000829901,LORD ABBETT GLOBAL FUND INC,90 HUDSON STREET,JERSEY CITY,NJ,07302
740,0000830744,WILMINGTON FUNDS,1100 NORTH MARKET STREET,WILMINGTON,DE,19890
741,0000830779,COMSTOCK FUNDS INC,ONE CORPORATE CENTER,RYE,NY,10580-1434
742,0000831016,VARIABLE INSURANCE PRODUCTS FUND II,245 SUMMER STREET,BOSTON,MA,02210
743,0000831114,"RBB FUND, INC.",615 E. MICHIGAN ST.,MILWAUKEE,WI,53202
744,0000831363,"GENERAL NEW JERSEY MUNICIPAL MONEY MARKET FUND, INC.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
745,0000831832,MONARCH LIFE INSURANCE COMPANY SEPARATE ACCOUNT VA,ONE MONARCH PL,SPRINGFIELD,MA,01133
746,0000832545,LAUDUS TRUST,211 MAIN STREET,SAN FRANCISCO,CA,94105
747,0000832566,ALGER PORTFOLIOS,360 PARK AVENUE SOUTH,NEW YORK,NY,10010
748,0000832574,REYNOLDS FUNDS INC,"C/O US BANCORP FUND SERVICES, LLC",MILWAUKEE,WI,53202
749,0000832705,MORGAN STANLEY CALIF TAX FREE DAILY INCOME TRUST,522 FIFTH AVENUE,NEW YORK,NY,10036
750,0000832808,BERNSTEIN SANFORD C FUND INC,ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
751,0000832908,PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS,PO BOX 7500,NEWPORT BEACH,CA,92658-7500
752,0000834126,"PRUDENTIAL SHORT-TERM CORPORATE BOND FUND, INC.",655 BROAD STREET,NEWARK,NJ,07102
753,0000834237,"BLACKROCK GLOBAL ALLOCATION FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
754,0000834798,"T. Rowe Price Small-Cap Value Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
755,0000835414,LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT G,1300 S CLINTON ST PO BOX 1110,FORT WAYNE,IN,46801
756,0000835597,SEI INSTITUTIONAL INTERNATIONAL TRUST,SEI INVESTMENTS ATTN: CAREN ROSCH,OAKS,PA,19456
757,0000835620,"BlackRock Strategic Global Bond Fund, Inc.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
758,0000835663,GLENMEDE FUND INC,"200 CLARENDON STREET, LEG13",BOSTON,MA,02116
759,0000835765,NATIONWIDE LIFE & ANNUITY VA SEPARATE ACCOUNT A /OH/,NATIONWIDE LIFE INSURANCE CO,COLUMBUS,OH,43215
